País,Estado,Sitio Estadíos,Estadio,Años,Pre-Post,Salida,COORDENADAS N,Coordenadas W,Altitud,GRUPO,ESPECIE,Fecha
México,Jalisco,Caiman8-10,8-10,9,Pre,5,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,Caiman8-10,8-10,9,Pre,5,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Pachymedusa dacnicolor,10/6/10
México,Jalisco,Caiman8-10,8-10,9,Pre,6,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Smilisca baudini,2/5/11
México,Jalisco,Caiman8-10,8-10,9,Pre,7,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/8/11
México,Jalisco,Caiman8-10,8-10,9,Pre,7,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/8/11
México,Jalisco,Caiman8-10,8-10,9,Pre,7,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/8/11
México,Jalisco,Caiman8-10,8-10,9,Pre,7,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/8/11
México,Jalisco,Caiman8-10,8-10,9,Pre,7,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Craugastor occidentalis,7/8/11
México,Jalisco,Caiman8-10,8-10,9,Pre,7,"19°28'43.61""N","104°55'59.69""W",209,ANFIBIO,Diaglena spatulata,7/8/11
México,Jalisco,Caiman8-10,8-10,9,Pre,7,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Smilisca fodiens,7/8/11
México,Jalisco,Caiman8-10,8-10,9,Pre,7,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/8/11
México,Jalisco,Caiman8-10,8-10,9,Pre,7,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Phrynohyas venulosa,7/8/11
México,Jalisco,Caiman8-10,8-10,9,Pre,7,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/8/11
México,Jalisco,Caiman8-10,8-10,9,Post,9,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,8/12/12
México,Jalisco,Caiman8-10,8-10,9,Post,9,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,8/12/12
México,Jalisco,Caiman8-10,8-10,9,Post,9,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Rhinella marina,8/12/12
México,Jalisco,Caiman8-10,8-10,9,Post,9,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Smilisca baudini,8/12/12
México,Jalisco,Caiman8-10,8-10,9,Post,9,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,8/12/12
